ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
679,Proctor et al 1983,J of Ecology 71: 237-260,northern,3,3,,115,terrestrial,forest,trees  larger than 10 cm dbh,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,25,2.699583863,0.045454545,-0.5,m2,-0.5,0.715,0.02,0.0004,2.602059991,4,3.716003344
680,Proctor et al 1983,J of Ecology 71: 237-260,northern,3,3,,115,terrestrial,forest,trees  larger than 10 cm dbh,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,25,2.205388024,0.045454545,-0.331,m2,-0.331,0.62,0.029,0.000841,2.602059991,4,3.716003344
681,Proctor et al 1988,J of Ecology 76: 320-340,northern,5,5,,119,terrestrial,forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,10,2.109500239,0.142857143,2.255,ha,-0.321,0.644,0.056,0.003136,2.544068044,3.607455023,3.407390904
682,Pysek 1998,J of Biogeography 25: 155-163,northern,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,51,0.928727364,0.020833333,2.158,km2,0.196,0.327,0.044,0.001936,6.903089987,8.681241237,8.093631777
683,Quinn & Robinson 1987,J of Ecology 75: 837-855,northern,38.38,38.38,,-121.77,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,21,,0.055555556,,m2,,0.154,,,0.301029996,1.505149978,0.660051938
684,Quinn & Robinson 1987,J of Ecology 75: 837-855,northern,38.38,38.38,,-121.77,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,42,,0.025641026,,m2,,0.225,,,0.301029996,1.505149978,0.660051938
685,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,6,1.595576655,0.333333333,1.211,1000 km2,-2.704,0.435,0.092,0.008464,9.477121255,11.21484385,10.76962343
686,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,7,1.107001747,0.25,1.893,1000 km2,-0.402,0.255,0.085,0.007225,9.301029996,11.26951294,10.81671465
687,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,7,0.79636554,0.25,2.071,1000 km2,-1.052,0.347,0.175,0.030625,9.698970004,11.05307844,10.62471809
688,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,7,0.516507503,0.25,2.157,1000 km2,-0.912,0.341,0.282,0.079524,9.903089987,10.90308999,10.52596984
689,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,8,0.712112792,0.2,2.269,1000 km2,-0.413,0.298,0.157,0.024649,10.17609126,12.22556771,11.42549346
690,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,8,0.375737479,0.2,2.23,1000 km2,-0.722,0.328,0.348,0.121104,10.17609126,11.06818586,10.66978162
691,Rahbek 1997,Am Nat 149: 875-902,,,,,,terrestrial,forest,tropical land birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,12,1.412387238,0.111111111,2.01,1000 km2,-1.023,0.337,0.055,0.003025,10.04139269,12.81537848,11.95620845
692,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",southern,-40,40,,145,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,9,0.739759773,0.166666667,0.389,km2,-0.734,0.187,0.087,0.007569,6.477121255,9.123851641,8.262035582
693,Reed & Fleagle 1995,Proc Natl Acad Sci USA 92: 7874-7876,,,,,,terrestrial,forest,primates,mammals,omnivores,mobility,mobile,3.6444,no,independent,,log-log,7,1.093081259,0.25,-1.872,km2,-5.148,0.546,0.185,0.034225,5.092576792,6.601277557,12.08727764
694,Reed 1981,J of Animal Ecology 50: 613-624,,,,,,terrestrial,islands,breeding landbirds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,73,1.147727958,0.014285714,0.474,ha,-0.89,0.341,0.029,0.000841,3.903089987,8.029067074,6.97983708
695,Reed 1983,Biological Conservation 25: 263-271,,,,,,terrestrial,islands,land birds,birds,omnivores,flying,flying,2.0725,no,independent,,log-log,61,1.156817465,0.017241379,0.506,ha,-0.802,0.327,0.03,0.0009,4.046495164,8.005504327,9.055726889
696,Rejmánek & Rosén 1992,J of Vegetation Sci 3: 625-630,northern,56.3,56.3,,16.5,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,29,1.744483179,0.038461538,1.4,m2,1.4,0.219,,,-3,2.795880017,
706,Rey 1981,Ecological Monographs 51:237-265,northern,30,30,,84,terrestrial,non-forest,terrestrial arthropods,arthropods,omnivores,flying,mobile,-2.301029996,no,independent,,log-log,3,1.602206381,,0.242,m2,0.242,0.296,0.125,0.015625,1.939519253,3.06669855,2.760422483
707,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,19,19,30,,terrestrial,,beetles,insects,omnivores,flying,mobile,-0.351,no,nested,,log-log,12,1.665843389,0.111111111,0.081,km2,-2.625,0.451,,,,,11.81897261
708,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,53.15,53.15,23.7,,terrestrial,,beetles,insects,omnivores,flying,mobile,-0.351,no,nested,,log-log,8,0.293115727,0.2,0.589,km2,-0.593,0.197,,,,,10.67606912
709,Rice 1952,Ecology 33: 112-116,northern,33.56,33.56,,-96.47,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,20,1.842138521,0.058823529,1.38,m2,1.38,0.398,0.03,0.0009,-1,0.301029996,0.021189299
710,Rice 1952,Ecology 33: 112-116,northern,33.56,33.56,,-96.47,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,20,1.801876546,0.058823529,1.407,m2,1.407,0.425,0.034,0.001156,-1,0.301029996,0.021189299
711,Richards 1939,J of Ecology 27: 1-61,northern,7,7,,4.5,terrestrial,forest,trees >10 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.453377389,1,1.579,ha,-0.037,0.404,0.018,0.000324,3.602059991,4.176091259,4
712,Richards 1939,J of Ecology 27: 1-61,northern,7,7,,4.5,terrestrial,forest,trees >30 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.994480708,1,1.179,ha,-0.181,0.34,0.023,0.000529,3.602059991,4.176091259,4
713,Richards 1939,J of Ecology 27: 1-61,northern,7,7,,4.5,terrestrial,forest,trees >10 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.106303048,1,1.521,ha,-0.027,0.387,0.025,0.000625,3.602059991,4.176091259,4
714,Richards 1939,J of Ecology 27: 1-61,northern,6.3,6.3,,5.3,terrestrial,forest,trees >10 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.250394522,1,1.765,ha,-0.295,0.515,0.029,0.000841,3.602059991,4.176091259,4
715,Richards 1939,J of Ecology 27: 1-61,northern,7,7,,4.5,terrestrial,forest,trees >30 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.994480708,1,1.328,ha,-0.484,0.453,0.031,0.000961,3.602059991,4.176091259,4
716,Richards 1939,J of Ecology 27: 1-61,northern,6.3,6.3,,5.3,terrestrial,forest,trees >30 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.250394522,1,1.491,ha,-1.077,0.642,0.033,0.001089,3.602059991,4.176091259,4
717,Richards 1952,J of Animal Ecology 33: 213-226,northern,4,4,,-58,terrestrial,forest,trees over 30 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,3.800201167,1,1.491,ha,-1.057,0.637,0.024,0.000576,3.547622122,4.161714401,3.956199656
718,Poore 1964,"In: Poore 1964, J of Animal Ecology 33: 213-226",northern,4,4,,-58,terrestrial,forest,trees over 10 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,4,2.514715943,1,1.855,ha,-0.917,0.693,0.08,0.0064,3.558228422,4.164632083,3.959709977
719,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,18.25,18.25,16.5,,terrestrial,islands,land birds,birds,omnivores,flying,flying,2.0725,no,independent,,log-log,30,1.53928414,0.037037037,0.965,km2,-0.139,0.184,,,,,9.871983278
720,Ricklefs & Lovette 1999,J of Animal Ecology 68: 1142-1160,northern,15,15,,-63,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent,A2b,log-log,15,1.005753716,0.083333333,0.319,km2,-1.073,0.232,0.054,0.002916,7.113943352,9.178976947,8.522718027
721,Ricklefs & Lovette 1999,J of Animal Ecology 68: 1142-1160,northern,15,15,,-63,terrestrial,islands,butterflies,insects,herbivores,flying,flying,-0.151,no,independent,A2b,log-log,15,0.87916348,0.083333333,0.856,km2,-0.728,0.264,0.073,0.005329,7.113943352,9.178976947,8.522718027
722,Ricklefs & Lovette 1999,J of Animal Ecology 68: 1142-1160,northern,15,15,,-63,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,19,0.948272554,0.0625,0.914,km2,-0.316,0.205,0.045,0.002025,7.113943352,9.178976947,8.522718027
723,Ricklefs & Lovette 1999,J of Animal Ecology 68: 1142-1160,northern,15,15,,-63,terrestrial,islands,reptiles & amphibians,vertebrates,omnivores,mobility,mobile,2.517998945,no,independent,A2b,log-log,19,0.547973699,0.0625,0.63,km2,-0.354,0.164,0.069,0.004761,7.113943352,9.178976947,8.522718027
724,Ricklefs 2000,J Anim Ecol 69: 1111-1116,northern,13.625,13.625,9.25,,terrestrial,islands,terrestrial birds,birds,omnivores,flying,flying,1.6232,no,independent,,log-log,7,1.23840472,0.25,0.959,km2,-0.403,0.227,0.064,0.004096,8.255272505,11.30652796,10.49765221
725,Collins et al 2002,"from Collins et al 2002, Evol Ecol Res 4: 457-464",,,,,,terrestrial,forest,Angiosperms,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,4,,1,-1.67,km2,-7.49,0.97,,,11.76,12.7,
726,Collins et al 2002,"from Collins et al 2002, Evol Ecol Res 4: 457-464",,,,,,terrestrial,forest,Vertebrate frugivores,vertebrates,herbivores,mobility,mobile,2.903089987,no,independent,,log-log,7,,0.25,-4.94,km2,-11.84,1.15,,,11.6,12.7,
727,Collins et al 2002,"from Collins et al 2002, Evol Ecol Res 4: 457-464",,,,,,terrestrial,,Arthropods on bracken fern,insects,herbivores,flying,mobile,-2.301029996,no,independent,,log-log,6,,0.333333333,-1.886056648,100000 km2,-8.596056648,0.61,,,9,11.60205999,
728,Collins et al 2002,"from Collins et al 2002, Evol Ecol Res 4: 457-464",northern,,,,,terrestrial,forest,insects on British trees,insects,herbivores,flying,mobile,-2.301,no,independent,,log-log,20,,0.058823529,-0.71,4 km2,-6.584,0.89,,,8.802059991,10.00205999,
729,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,27,27,,-113,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,4,2.075646937,1,0.906,km2,-0.36,0.211,0.038,0.001444,5.602059991,9.08350262,7.972048477
730,Roux & Rieux 1981,Vegetatio 44: 65-76,northern,44,44,,5.5,terrestrial,non-forest,lichens,nonvascular plants,autotrophs,spores,sessile,,no,nested,,log-log,11,1.68106793,0.125,0.551,cm2,2.035,0.371,0.047,0.002209,-3.495937117,-1.077905947,-1.64238909
731,Roux & Rieux 1981,Vegetatio 44: 65-76,northern,44,44,,5.5,terrestrial,,lichens,nonvascular plants,autotrophs,spores,sessile,,no,nested,,log-log,7,2.350744978,0.25,0.004,cm2,2.308,0.576,0.05,0.0025,-3.345438445,-1.287734263,-1.837821074
732,Rudnicky & Hunter 1993,Ecological Applications 3: 357-366,northern,44,44,,-68,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,68,1.184930546,0.015384615,0.708,ha,-0.656,0.341,0.028,0.000784,4.141449773,6.052809328,5.478774359
733,Rundle et al 2002,Freshwater Biology 47: 1571-1581,northern,49.98,49.98,,-5.23,water,lakes,invertebrates,zoobenthos,omnivores,,,-1.584,no,independent,,log-log,16,0.680739596,0.076923077,0.999,m2,0.999,0.15,0.055,0.003025,1.079181246,3.380030248,2.709609121
734,Rydin & Borgegård 1988,Ecology 69: 916-927,northern,59.3,59.3,,15.7,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,21,0.839540228,0.055555556,0.8,m2,0.8,0.2,,,2.499687083,4.399673721,
735,Rydin & Borgegård 1988,Ecology 69: 916-927,northern,59.3,59.3,,15.7,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,30,0.969152168,0.037037037,0.16,m2,0.16,0.46,,,1.799340549,4.399673721,
736,Rydin & Borgegård 1988,Ecology 69: 916-927,northern,59.3,59.3,,15.7,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,34,1.390023625,0.032258065,0.02,m2,0.02,0.52,,,1,4.399673721,
737,Rydin & Borgegård 1988,Ecology 69: 916-927,northern,59.3,59.3,,15.7,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,37,1.250872559,0.029411765,0.65,m2,0.65,0.36,,,1.698970004,4.399673721,
738,Rydin & Borgegård 1988,Ecology 69: 916-927,northern,59.3,59.3,,15.7,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,37,1.390023625,0.029411765,-0.02,m2,-0.02,0.56,,,1.301029996,4.399673721,
739,Santelices et al. 1995,MEPS 129: 215-228,southern,-32.77,32.77,,-71.55,water,marine,macroalgae,nonvascular plants,autotrophs,passive,sessile,0.6667,no,independent,,log-log,8,1.572544399,0.2,0.29289882,cm2,1.96498586,0.41802176,,,,,
740,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,34,34,,-119,terrestrial,islands,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,A2b,log-log,8,0.72826052,0.2,0.282,km2,-0.72,0.167,0.086,0.007396,6.414973348,8.396199347,8.053270567
741,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,34,34,,-119,terrestrial,islands,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,A2b,log-log,8,0.526889734,0.2,0.027,km2,-0.903,0.155,0.115,0.013225,6.414973348,8.396199347,8.053270567
742,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,0.549306144,0.052631579,0.73,m2,0.73,0.19,,,1.255272505,2.602059991,
743,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,0.706180685,0.052631579,0.53,m2,0.53,0.23,,,1.255272505,2.602059991,
744,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,0.745498154,0.052631579,0.53,m2,0.53,0.24,,,1.255272505,2.602059991,
745,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,1.047993293,0.052631579,0.38,m2,0.38,0.34,,,1.255272505,2.602059991,
746,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,1.031718534,0.052631579,-0.07,m2,-0.07,0.5,,,1.255272505,2.602059991,
747,Schlosser 1985,Ecology 66: 1484-1490,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,22,1.098612289,0.052631579,-0.17,m2,-0.17,0.56,,,1.255272505,2.602059991,
748,Schmiegelow & Nudds 1987,Can J Zool 65: 3041-3043,northern,45.4,45.4,,-81.6,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,independent,A2b,log-log,28,1.209935121,0.04,-0.16,ha,-1.84,0.42,0.02,0.0004,3.602059991,7.037067758,6.385425131
749,Schmiegelow & Nudds 1987,Can J Zool 65: 3041-3043,northern,45.4,45.4,,-81.6,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,28,1.209935121,0.04,0.75,ha,-0.53,0.32,0.01,0.0001,3.602059991,7.037067758,6.385425131
750,Schmiegelow & Nudds 1987,Can J Zool 65: 3041-3043,northern,45.4,45.4,,-81.6,terrestrial,islands,herptiles,vertebrates,omnivores,mobility,mobile,2.517998945,no,independent,A2b,log-log,28,1.190269352,0.04,0.18,ha,-1.3,0.37,0.01,0.0001,3.602059991,7.037067758,6.385425131
751,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,1.7983,cm2,2.2923,0.1235,,,-3.193820026,-0.180035134,-1.309963486
752,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,2.9875,cm2,3.4931,0.1264,,,-3.193820026,-0.180035134,-1.309963486
753,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.9924,cm2,4.634,0.1604,,,-3.193820026,-0.180035134,-1.309963486
754,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,4.1025,cm2,4.7829,0.1701,,,-3.193820026,-0.180035134,-1.309963486
755,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.233,cm2,3.9598,0.1817,,,-3.193820026,-0.180035134,-1.309963486
756,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.53,cm2,4.4312,0.2253,,,-3.193820026,-0.180035134,-1.309963486
757,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,4.8288,cm2,5.8204,0.2479,,,-3.193820026,-0.180035134,-1.309963486
758,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.9392,cm2,4.9672,0.257,,,-3.193820026,-0.180035134,-1.309963486
759,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.1049,cm2,4.1377,0.2582,,,-3.193820026,-0.180035134,-1.309963486
760,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.9765,cm2,5.0093,0.2582,,,-3.193820026,-0.180035134,-1.309963486
761,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,2.9009,cm2,3.9569,0.264,,,-3.193820026,-0.180035134,-1.309963486
762,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.153,cm2,4.2094,0.2641,,,-3.193820026,-0.180035134,-1.309963486
763,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,4.4797,cm2,5.5405,0.2652,,,-3.193820026,-0.180035134,-1.309963486
764,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.9499,cm2,5.0423,0.2731,,,-3.193820026,-0.180035134,-1.309963486
765,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,2.8655,cm2,3.9895,0.281,,,-3.193820026,-0.180035134,-1.309963486
766,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.7219,cm2,4.8695,0.2869,,,-3.193820026,-0.180035134,-1.309963486
767,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.0477,cm2,4.2073,0.2899,,,-3.193820026,-0.180035134,-1.309963486
768,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.2828,cm2,4.4608,0.2945,,,-3.193820026,-0.180035134,-1.309963486
769,Schoener & Schoener 1981,Am Nat 118: 339-360,northern,47.7,47.7,,-122.5,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,41,,0.026315789,3.1333,cm2,4.3121,0.2947,,,-3.193820026,-0.180035134,-1.309963486
770,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,3,3,6,,terrestrial,islands,land birds,birds,omnivores,flying,flying,2.0725,no,independent,,log-log,34,1.488237944,0.032258065,0.878,km2,-1.042,0.32,,,,,8.900321785
771,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,60.33,60.33,0.85,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,47,1.504733651,0.022727273,0.721,km2,-1.211,0.322,,,,,7.480667948
772,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.197,m2,1.197,0.221,,,0,3,
773,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.213,m2,1.213,0.224,,,0,3,
774,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.221,m2,1.221,0.229,,,0,3,
775,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.055,m2,1.055,0.24,,,0,3,
776,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.024,m2,1.024,0.252,,,0,3,
777,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,0.963,m2,0.963,0.258,,,0,3,
778,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,1.042,m2,1.042,0.289,,,0,3,
779,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,0.941,m2,0.941,0.324,,,0,3,
780,Schwilk et al 1997,Plant Ecology 132: 77-84,southern,-33.95,33.95,,18.92,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,,,,0.895,m2,0.895,0.349,,,0,3,
781,Davies & Smith 1997,"from Davies & Smith 1997 , Glob Ecol Biogeo Letters 7",northern,,,,,terrestrial,islands,butterflies,insects,herbivores,flying,flying,-0.151,no,independent,,log-log,24,1.601902601,0.047619048,0.91,km2,-0.65,0.26,,,7.342422681,11.0360697,
782,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,69.8,69.8,19.5,,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,7,0.574970116,0.25,3.685,km2,5.341,-0.276,,,,,11.27224926
783,Selmi & Boulinier 2001,Am Nat 158: 426-437,,,,,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,,,log-log,25,,0.045454545,0.18,km2,-0.48,0.11,0.07,0.0049,,,
784,Selmi & Boulinier 2001,Am Nat 158: 426-437,,,,,,terrestrial,islands,insects,insects,omnivores,flying,flying,-2.301,no,,,log-log,25,,0.045454545,2.91,km2,2.01,0.15,0.07,0.0049,,,
785,Selmi & Boulinier 2001,Am Nat 158: 426-437,,,,,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,,,log-log,25,,0.045454545,0.42,km2,-0.72,0.19,0.04,0.0016,,,
786,Selmi & Boulinier 2001,Am Nat 158: 426-437,,,,,,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,,,log-log,25,,0.045454545,2.18,km2,0.44,0.29,0.08,0.0064,,,
787,Selmi et al 2002,The Auk 119: 533-539,northern,32,32,,10,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,15,0.45622195,0.083333333,0.822,ha,0.662,0.04,0.024,0.000576,5.729974286,6.96425963,6.444044796
788,Selmi et al 2002,The Auk 119: 533-539,northern,32,32,,10,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,10,1.488237944,0.142857143,0.763,ha,0.283,0.12,0.02,0.0004,5.340444115,6.771587481,6.525044807
789,Selmi et al 2002,The Auk 119: 533-539,northern,32,32,,10,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,15,0.754793526,0.083333333,0.928,ha,0.656,0.068,0.023,0.000529,5.505149978,6.819543936,6.536558443
